tipo,nombre
persona,"Francisco Gálvez"
persona,"Francisco Gálvez Pizarro"
persona,"Francisco Poulsen"
persona,"Franco Gnecco"
persona,"Fundación Juntos Incluimos"
persona,"Gabriel Galindez"
persona,"Gabriela Sandoval"
persona,"Gabriela Villalobos Vestuario"
persona,"Gaja Studio"
persona,"Gaspar Jarry"
persona,"Gepe Logo"
persona,"Gerber Investigación Centro Competencia"
persona,"Gianfranco Music Wachtendorff"
persona,"Gianfranco Zoffoli"
persona,"Giuliana Mellafe"
persona,"Gonzalo Morales"
persona,"Goroka TV"
persona,"Gracia Covarrubias Prieto"
persona,"Gracia González"
persona,"Gregorio Valdés"
persona,"GUAICO Trabajo"
persona,"Gubii Incluye"
persona,"Habita Nodriza"
persona,"Harasic Diseño"
persona,"Hugo Palmarola"
persona,"Hugo Palmarola Diseño"
persona,"Hurto Visual"
persona,"Hyemin An"
persona,"IEB Senda Darwin CNCA"
persona,"Ignacia Bianchi"
persona,"Ignacia Murtagh"
persona,"Ignacia Santillán"
persona,"Ignacio Squella"
persona,"Igriega Estudio Ilustración"
persona,"Il Mato"
persona,"Il Posto"
persona,"Iluminación Proyecto"
persona,"Innova FOSIS Equipo"
persona,"Intrépida Atelier"
persona,"Irene Iborra Supervisión"
persona,"Isabel Díaz-del Río"
persona,"Isidora Hernández"
persona,"Isidora Millas Simosen"
persona,"Isidora Modak"
persona,"Isidora Montalván"
persona,"Isidora Morel-Letelier"
persona,"Isidora Silva"
persona,"Isidora Val Valdivielso"
persona,"Itera Studio"
persona,"Iván Caro"
persona,"Iván Pellicer"
persona,"Jacinta Navarro"
persona,"Javiera Donoso"
persona,"Javiera Manzi"
persona,"Javiera Naranjo"
persona,"Javiera Palma"
persona,"Javiera Sánchez"
persona,"Javiera Vaccaro"
persona,"Javiera Valiente"
persona,"Javiera Valiente Fabricación"
persona,"Javiera Videla"
persona,"Joaquín Gajardo"
persona,"Joaquín Rosas"
persona,"Joce Quezada Diseño"
persona,"Jose Chaud"
persona,"José Manuel Allard"
persona,"José Miguel Pumpin"
persona,"José Vidal"
persona,"Josefa Ballacey Cobo"
persona,"Josefa Bustos"
persona,"Josefa Cortés"
persona,"josefa diaz moller"
persona,"Josefa González Gil"
persona,"Josefina Andreu"
persona,"Josefina Boggio"
persona,"Josefina Carvalho"
persona,"Josefina M. Gajardo"
persona,"Josefina Maiza"
persona,"Josefina Pollarolo"
persona,"Josefina Stuardo Post-producción"
persona,"Josefina Stückrath"
persona,"Josefina Véliz"
persona,"Juan Croxatto"
persona,"Juan de Dios Urrutia Izquierdo"
persona,"Juan Pablo Bustamante"
persona,"Juan Pablo Orrego Diagramación"
persona,"Juan Pablo Valenzuela"
persona,"Juan Pablo Vergara Bienal"
persona,"Juan Vidal"
persona,"Juegos Panamericanos Santiago"
persona,"Julie Carles"
persona,"Karina Hyland"
persona,"Kimberly McCartney"
persona,"Kittsy Flor"
persona,"Krauss Studio"
persona,"La Fête Chocolat Fotos"
persona,"La Mesa Logo Sal"
persona,"Lars Müller Publishers"
persona,"Leire Cavia"
persona,"León Quesney Cox"
persona,"Leonardo Pérez"
persona,"leonor tapia"
persona,"Leopoldo Herrera"
persona,"Libro ISBN"
persona,"Lilian Calderón"
persona,"Lina Cárdenas"
persona,"LIP UC"
persona,"Liquid Latam"
persona,"Lorena O’Ryan"
persona,"Loreto Leiva"
persona,"Loreto Salinas Texto"
persona,"Low Studio Universidad Adolfo"
persona,"Lucas Góngora Rocha"
persona,"Lucas Margotta"
persona,"Lucía Rosselot Valdés"
persona,"Lucia Vial Cosmelli"
persona,"Lugar Premios Chile Diseño"
persona,"Luis Campos"
persona,"Luis Cifuentes Diseño"
persona,"Luis Orlandini"
persona,"Luis Vicente Fresno"
persona,"Lukas Yunge"
persona,"Luz Hurtado"
persona,"Luz María Hurtado"
persona,"Macarena Irarrázaval"
persona,"Macarena Silva"
persona,"Macarena Silva Desarrollado"
persona,"Macarena Valdés Domínguez"
persona,"Magdalena Aboitiz"
persona,"Magdalena Derosas"
persona,"Magdalena Fontaine"
persona,"Magdalena Larraín"
persona,"Magdalena Leigh"
persona,"Magdalena Leigh Guiatura"
persona,"Magdalena Maiz Hohlberg"
persona,"Magdalena Manríquez"
persona,"Magdalena Pérez"
persona,"Magdalena Proust Iligaray"
persona,"Magdalena Sáenz"
persona,"Magdalena Sáez"
persona,"Magdalena Schroeder"
persona,"Maili Ow"
persona,"Malhumor Studio"
persona,"Malú Fernández Aspillaga"
persona,"Malu Furche"
persona,"Malvina García"
persona,"Manu Mendi"
persona,"Manuel Larraín"
persona,"Manuel Silva Acevedo"
persona,"Manuela Garretón"
persona,"MANUELA VILLANUEVA WALKER"
persona,"Marcas Alaniz Home"
persona,"Marchantes Cofinanciamiento"
persona,"Marcos Chilet"
persona,"Margarita Ham Uribe"
persona,"María Cristina Adasme"
persona,"María Fernanda Gonzalez"
persona,"María Granifo Correa"
persona,"Maria Ignacia Casale Wevar"
persona,"María Inés Alarcón"
persona,"María Jesús Aldunce"
persona,"Maria Jesus Arestizabal"
persona,"María Jesús Contreras"
persona,"María Jesús Correa Ortúzar"
persona,"María Jesús Darrigrande"
persona,"María Jesús Lafuente"
persona,"María Jesús Maturana"
persona,"María Jesús Pinto"
persona,"Maria Jesus Sotoluque"
persona,"María Jesús Vallejos"
persona,"María Jesús Vidal Lynch"
persona,"María José Besoaín"
persona,"María José Carmona"
persona,"María José Carmona Editorial"
persona,"María José Díaz"
persona,"María José Tapia"
persona,"María José Vega Desarrollado"
persona,"María Soledad Albornoz"
persona,"Mariana Zeballos"
persona,"Marisol Zemon Vergara"
persona,"Martín Cáceres"
persona,"Martín Campos"
persona,"Martín Jiménez"
persona,"Martín Tironi"
persona,"Martin Tironi En"
persona,"Martín Tironi Journal"
persona,"Martina Abello"
persona,"Martina Palominos"
persona,"Martita Apel"
persona,"Matías Hagen Esper"
persona,"Matías Prado"
persona,"Matías Vial"
persona,"Maureen Echeverria Cox"
persona,"Max Fett"
persona,"Maximiliano Andrade Apoyo"
persona,"Maximiliano Andrade Ilustraciones"
persona,"Maximiliano Contreras"
persona,"Mayela Cerda"
persona,"Medios Producción"
persona,"Mercedes Castillo"
persona,"Michelle Serni"
persona,"Miller Desarrollado"
persona,"Milodón Estudio"
persona,"Motion Studio"
persona,"Moving Works"
persona,"Mucha Trama Estudio"
persona,"Mujeres Bacanas"
persona,"Myriam Aguirre"
persona,"Naciones Unidas"
persona,"Naomi Altmann"
persona,"Natalia Cerda"
persona,"Natalia Hevia"
persona,"Natalia Rojo"
persona,"Netflix Chile"
persona,"NewFuture Equipo"
persona,"NewFuture Financiamiento"
persona,"Nicolás García Desarrollado"
persona,"Nicolás Maturana"
persona,"Nicolás Morales Colaboradores"
persona,"Nicolás Robertson"
persona,"Nicole Cavada"
persona,"Nicole Cristi"
persona,"Nodo Sur"
persona,"Nuevo Capital"
persona,"Omar Faundez"
persona,"Otros Pérez"
persona,"Otros Pérez Identidad"
persona,"Pablo González"
persona,"Pablo Gutiérrez"
persona,"Pablo Hermansen"
persona,"Pájaro Pip"
persona,"Paris Cencosud Retail"
persona,"Pascale Blanchard Diseño"
persona,"Pati Prat Errázuriz"
persona,"Patricia Manns"
persona,"Patricio Fuentes"
persona,"Pau Geis"
persona,"Paula Alvarado Echeverría"
persona,"Paula Herrera"
persona,"Paula Herrera Rivas"
persona,"Paula Ramírez Animador Stop"
persona,"Paula Santa María"
persona,"Paula Wuth"
persona,"Paulina Astudillo"
persona,"Paulina Carrasco"
persona,"Paulina Montero"
persona,"Paulina Padilla"
persona,"Paz Osorio Schmied"
persona,"PC Factory"
persona,"Pedro Álvarez"
persona,"Pedro Ignacio Alonso"
persona,"Pia Bahamondes"
persona,"Piedad Rivadeneira Creative Direction"
persona,"Pilar Saavedra"
persona,"Producción Musical"
persona,"Punto Focal"
persona,"Qüina Studio"
persona,"Rafaella Espildora"
persona,"Raíz Rituales Realizado"
persona,"Rayén Espinoza"
persona,"Real Travel"
persona,"Redes Sociales"
persona,"Renata Scanavini Grazioli"
persona,"Revista Los Héroes"
persona,"Revista YA Foto"
persona,"Rimaya Lab"
persona,"Rodrigo Araya"
persona,"Rodrigo Ramírez"
persona,"Rodrigo Ramírez Montecinos"
persona,"Rosario Balmaceda Espinosa"
persona,"Rosario Espinosa"
persona,"Rubén Gómez"
persona,"Sabado Sabado Estudio"
persona,"Sam García Editorial Manivela"
persona,"Santiago Jara Diseñadora"
persona,"Sapiens Branding"
persona,"Sara Gubbins"
persona,"Sara Riveros"
persona,"Sarah Miller"
persona,"Schwarz-Haus Arquitecto"
persona,"Sebastián Castro"
persona,"Sebastián Cobo"
persona,"Sebastián Cobo Arquitecto Colaborador"
persona,"Sebastián Cobo Fotografía"
persona,"Sebastián Cobo Montaje"
persona,"Sebastián Errázuriz"
persona,"Sebastian Spoerer"
persona,"Sebastian Studio"
persona,"Sebastián Tala"
persona,"Segundo Nombre Museografía"
persona,"Sergio Panizza"
persona,"Sergio Ramírez Flores"
persona,"Service Design Award"
persona,"Set Design"
persona,"Shuting Zhong Xie"
persona,"Siente Cinco"
persona,"Siente Cinco Fotografía"
persona,"Simón Pešutic Proyecto"
persona,"Simón Sepúlveda"
persona,"Simón Sepúlveda Graphic Design"
persona,"Sistema Simple Studio"
persona,"Sofía Álvarez"
persona,"Sofía Cohen Curatoría"
persona,"Sofía Daza Urzúa"
persona,"Sofía Garrido"
persona,"Sofía Guridi"
persona,"Sofia Hinostroza"
persona,"Sofía Jiménez"
persona,"Sophia López Pinoleo"
persona,"Spectro Studio"
persona,"Stanford University"
persona,"Stefania Malacchini"
persona,"Taller La Bandurria FONDART"
persona,"Taller UC"
persona,"Tamara Santibáñez"
persona,"Tamara Schwarz Appelt"
persona,"Teresita de Jesús Reymond"
persona,"Teresita Irarrázaval"
persona,"The Glass Lab"
persona,"Tomás Corvalán Azócar"
persona,"Tomás Espinosa"
persona,"Tomás Ossandón Iluminación"
persona,"Tomás Sánchez"
persona,"Tomás Vivanco"
persona,"TOPO COLECTIVO Trabajo"
persona,"Topsy Studio"
persona,"Toyng Travel Games"
persona,"Trinidad Borghero"
persona,"Trinidad Burgos"
persona,"Trinidad Murtagh"
persona,"Trinidad Rodríguez"
persona,"Uri Serra"
persona,"Valentina Aliaga"
persona,"Valentina Andrea Pavez Benítez"
persona,"Valentina Marquez Villablanca"
persona,"Valentina Navarrete"
persona,"Valentina Osnovikoff"
persona,"Valentina Rey Carmona"
persona,"Vanessa Vásquez"
persona,"Vertti Virasjoki Presentado"
persona,"Vicente Acuña"
persona,"Vicente Barría"
persona,"Vicente Carmona"
persona,"Vicente Múñoz"
persona,"Vicente Puig"
persona,"Victoria De la Maza"
persona,"Victoria Gallardo"
persona,"Victoria Garcia"
persona,"Victoria García Año"
persona,"Victoria Mohr"
persona,"Victoria Schuwirth Montero"
persona,"Victoria Tirapeguy"
persona,"Vitrina Dinámica"
persona,"Vivanco Realizado"
persona,"Weichi He"
persona,"Wild Lama"
persona,"Winner Best Student Project"
persona,"Ximena Silva"
persona,"Yael Berkowitz"
persona,"Yazmín González Editores"
persona,"Yazmin Jiménez"
persona,"Yolanda Sande"
persona,"Yolanda Sande Guglielmetti"
persona,"Zerek Green"
persona,"Zerek Studio"
estudio,"Blanca Estudio"
estudio,"Cinco Estudio"
estudio,"Clover Studio"
estudio,"Draft Estudio"
estudio,"Estudio 22"
estudio,"Estudio EDE"
estudio,"Estudio Postal"
estudio,"Finca Estudio"
estudio,"Gaja Studio"
estudio,"Igriega Estudio"
estudio,"Itera Studio"
estudio,"Krauss Studio"
estudio,"Low Studio"
estudio,"Malhumor Studio"
estudio,"Milodón Estudio"
estudio,"Motion Studio"
estudio,"Mucha Trama Estudio"
estudio,"Qüina Studio"
estudio,"Sabado Sabado Estudio"
estudio,"Sebastian Studio"
estudio,"Sistema Simple Studio"
estudio,"Spectro Studio"
estudio,"Topsy Studio"
estudio,"Zerek Studio"
